codReceita,txtDescricaoReceita
1000000000000000000000000,RECEITAS CORRENTES
1100000000000000000000000,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA"
1110000000000000000000000,IMPOSTOS
1111000000000000000000000,IMPOSTOS SOBRE O COMÉRCIO EXTERIOR
1111010000000000000000000,IMPOSTO SOBRE A IMPORTAÇÃO
1111011000000000000000000,IMPOSTO SOBRE A IMPORTAÇÃO
1111020000000000000000000,IMPOSTO SOBRE A EXPORTAÇÃO
1111021000000000000000000,IMPOSTO SOBRE A EXPORTAÇÃO
1112000000000000000000000,IMPOSTOS SOBRE O PATRIMÔNIO
1112010000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL
1112011000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICÍPIOS CONVENIADOS
1112012000000000000000000,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - MUNICÍPIOS NÃO-CONVENIADOS
1112500000000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA
1112500100000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL
1112500101000000000000000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA
1112500101000000001100000,IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA
1112500101000000001101000,Imposto sobre a Propriedade Predial e Territorial Urbana
1112500101000000001109000,TOTAL DE DEDUÇÕES DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA
1112500101000000001109001,Deduções do Imposto sobre a Propriedade Predial e Territorial Urbana
1112500101000000001200000,TOTAL PARCELAMENTO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA
1112500101000000001201000,PARCELAMENTO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA
1112500101000000001201001,PPI - Imposto sobre a Propriedade Predial e Territorial Urbana
